team,status,player,pos,injury,raw
JETS,OUT,﻿ ﻿ ﻿ Garrett Wilson ﻿ ﻿ ﻿,WR,knee,WR ﻿ ﻿ ﻿ Garrett Wilson ﻿ ﻿ ﻿ (knee)
JETS,OUT,﻿ ﻿ ﻿ Azareye'h Thomas ﻿ ﻿ ﻿,CB,concussion,CB ﻿ ﻿ ﻿ Azareye'h Thomas ﻿ ﻿ ﻿ (concussion)
JETS,QUESTIONABLE,﻿ Khalil Herbert ﻿,RB,groin,RB ﻿ Khalil Herbert ﻿ (groin)
JETS,QUESTIONABLE,﻿ Xavier Newman-Johnson ﻿,OL,ankle,OL ﻿ Xavier Newman-Johnson ﻿ (ankle)
JETS,QUESTIONABLE,dge ﻿ Will McDonald IV ﻿,E,quad,Edge ﻿ Will McDonald IV ﻿ (quad)
JETS,QUESTIONABLE,﻿ Braiden McGregor ﻿,DL,shoulder,DL ﻿ Braiden McGregor ﻿ (shoulder)
JETS,QUESTIONABLE,﻿ Harrison Phillips ﻿,DL,foot,DL ﻿ Harrison Phillips ﻿ (foot)
JETS,OUT,: WR ﻿ ﻿ ﻿ Garrett Wilson ﻿ ﻿ ﻿,,knee,: WR ﻿ ﻿ ﻿ Garrett Wilson ﻿ ﻿ ﻿ (knee)
JETS,OUT,﻿ ﻿ ﻿ Azareye'h Thomas ﻿ ﻿ ﻿,CB,concussion,CB ﻿ ﻿ ﻿ Azareye'h Thomas ﻿ ﻿ ﻿ (concussion)
PATRIOTS,OUT,﻿ ﻿ Rhamondre Stevenson ﻿ ﻿,RB,toe,RB ﻿ ﻿ Rhamondre Stevenson ﻿ ﻿ (toe)
PATRIOTS,OUT,﻿ ﻿ Kayshon Boutte ﻿ ﻿,WR,hamstring,WR ﻿ ﻿ Kayshon Boutte ﻿ ﻿ (hamstring)
PATRIOTS,OUT,﻿ ﻿ Austin Hooper ﻿ ﻿,TE,concussion,TE ﻿ ﻿ Austin Hooper ﻿ ﻿ (concussion)
PATRIOTS,OUT,﻿ ﻿ Christian Elliss ﻿ ﻿,LB,hip,LB ﻿ ﻿ Christian Elliss ﻿ ﻿ (hip)
PATRIOTS,QUESTIONABLE,﻿ ﻿ Terrell Jennings ﻿ ﻿,RB,knee,RB ﻿ ﻿ Terrell Jennings ﻿ ﻿ (knee)
PATRIOTS,QUESTIONABLE,﻿ ﻿ Joshua Farmer ﻿ ﻿,DL,ankle,DL ﻿ ﻿ Joshua Farmer ﻿ ﻿ (ankle)
PATRIOTS,OUT,: RB ﻿ ﻿ Rhamondre Stevenson ﻿ ﻿,,toe,: RB ﻿ ﻿ Rhamondre Stevenson ﻿ ﻿ (toe)
PATRIOTS,OUT,﻿ ﻿ Kayshon Boutte ﻿ ﻿,WR,hamstring,WR ﻿ ﻿ Kayshon Boutte ﻿ ﻿ (hamstring)
PATRIOTS,OUT,﻿ ﻿ Austin Hooper ﻿ ﻿,TE,concussion,TE ﻿ ﻿ Austin Hooper ﻿ ﻿ (concussion)
PATRIOTS,OUT,﻿ ﻿ Christian Elliss ﻿ ﻿,LB,hip,LB ﻿ ﻿ Christian Elliss ﻿ ﻿ (hip)
