type,name,href,cols,context,data_keys
table,,,"Will Hernandez
G
Nov 9
Questionable
Nov 7: Hernandez (knee) is questionable for Sunday's matchup against Seattle, Tyler Drake of ArizonaSports.com reports.",,
table,,,"BJ Ojulari
LB
Nov 16
Out
Nov 7: Ojulari (knee) has been ruled out for Sunday's game against the Seahawks, Tyler Drake of ArizonaSports.com reports.",,
table,,,"Will Johnson
CB
Nov 16
Out
Nov 7: Johnson (back) has been ruled out ahead of Sunday's matchup against the Seahawks, Darren Urban of the Cardinals' official site reports.",,
table,,,"Max Melton
CB
Nov 16
Out
Nov 7: Melton (concussion) has been ruled out ahead of Sunday's matchup against the Seahawks, Darren Urban of the Cardinals' official site reports.",,
table,,,"Mack Wilson Sr.
LB
Nov 16
Out
Nov 7: Wilson (ribs) has been ruled out ahead of Sunday's matchup against the Seahawks, Darren Urban of the Cardinals' official site reports.",,
table,,,"Xavier Weaver
WR
Nov 9
Questionable
",,
table,,,"Kitan Crawford
S
Nov 9
Questionable
",,
table,,,"Trey Benson
RB
Nov 9
Injured Reserve
Nov 5: Cardinals coach Jonathan Gannon said Wednesday that Benson (knee) is ""doing well"" but isn't ready to practice, Theo Mackie of The Arizona Republic reports.",,
table,,,"Kyler Murray
QB
Dec 7
Injured Reserve
Nov 4: Arizona head coach Jonathan Gannon announced that Jacoby Brissett will start Sunday's game in Seattle instead of Murray (foot), Darren Urban of the Cardinals' official site reports.",,
table,,,"Travis Vokolek
TE
Feb 9
Injured Reserve
Oct 15: The Cardinals placed Vokolek on injured reserve Wednesday due to a season-ending neck injury, Darren Urban of the team's official site reports.",,
table,,,"Blake Gillikin
P
Nov 16
Injured Reserve
Oct 11: The Cardinals placed Gillikin on injured reserve Saturday due to a back injury, Zach Gershman of the team's official site reports.",,
table,,,"Tip Reiman
TE
Feb 9
Injured Reserve
Oct 8: Reiman (ankle) was placed on injured reserve Wednesday.",,
table,,,"James Conner
RB
Feb 9
Injured Reserve
Sep 23: The Cardinals placed Conner (foot) on injured reserve Tuesday.",,
table,,,"L.J. Collier
DE
Nov 9
Injured Reserve
Sep 17: Collier (knee) was placed on injured reserve Wednesday.",,
table,,,"Joey Blount
S
Feb 9
Injured Reserve
Sep 10: Head coach Jonathan Gannon told reporters Wednesday that Blount (neck/concussion) will be placed on injured reserve and miss the remainder of the season, Josh Weinfuss of ESPN.com reports.",,
table,,,"Justin Jones
DT
Nov 9
Injured Reserve
Aug 28: The Cardinals placed Jones on injured reserve Thursday due to a knee injury, Darren Urban of the team's official site reports.",,
table,,,"Christian Jones
OT
Nov 9
Injured Reserve
Aug 27: Jones (knee) was placed on injured reserve Tuesday.",,
table,,,"Hayden Conner
G
Nov 9
Injured Reserve
Aug 27: Conner (knee) was placed on injured reserve Tuesday.",,
table,,,"J.J. Russell
LB
Feb 9
Injured Reserve
Aug 27: Russell was placed on injured reserve by the Cardinals on Tuesday, Darren Urban of the team's official website reports.",,
table,,,"Valentin Senn
OT
Feb 9
Injured Reserve
Aug 3: Senn (undisclosed) was placed on injured reserve by the Cardinals on Sunday, Aaron Wilson of KPRC 2 Houston reports.",,
table,,,"Starling Thomas V
CB
Feb 9
Injured Reserve
Jul 27: The Cardinals placed Thomas (knee) on injured reserve Sunday.",,
table,,,"Sean Murphy-Bunting
CB
Feb 9
Out
May 28: Coach Jonathan Gannon said Wednesday that Murphy-Bunting underwent surgery on his knee to address the injury that landed him on Arizona's NFI list, Josh Weinfuss of ESPN.com reports.",,
table,,,"LaCale London
DE
Nov 9
Questionable
Nov 7: London (shoulder) is questionable for Sunday's game against the Colts, Josh Kendall of The Athletic reports.",,
table,,,"Mike Hughes
CB
Nov 9
Questionable
Nov 7: Hughes (neck) is questionable for Sunday's game against the Colts, Josh Kendall of The Athletic reports.",,
table,,,"Storm Norton
OT
Nov 16
Injured Reserve
Nov 6: Norton (foot) is not traveling with the team to Berlin for Sunday's contest against the Colts, Tori McElhaney of the Falcons' official website reports.",,
table,,,"Matthew Bergeron
G
Nov 16
Out
Nov 6: Bergeron (ankle) will not travel to Berlin for Sunday's contest against the Colts, Tori McElhaney of the Falcons' official website reports.",,
table,,,"Chris Lindstrom
G
Nov 9
Questionable
Nov 6: Lindstrom (foot) was a limited participant at practice Thursday, Tori McElhaney of the Falcons' official website reports.",,
table,,,"Leonard Floyd
DE
Nov 16
Out
Nov 6: Floyd has been ruled out for Sunday's matchup against Indianapolis in Berlin, Germany due to a hamstring injury, Tori McElhaney of the Falcons' official site reports.",,
table,,,"Divine Deablo
LB
Nov 23
Injured Reserve
Oct 25: The Falcons placed Deablo (forearm) on injured reserve Saturday, Terrin Waack of the team's official site reports.",,
