source,team_raw,team_abbr,status,player,pos,injury,raw
nfl.com_week11,JETS,NYJ,Out,Garrett Wilson,WR,knee,WR Garrett Wilson (knee)
nfl.com_week11,JETS,NYJ,Out,Azareye'h Thomas,CB,concussion,CB Azareye'h Thomas (concussion)
nfl.com_week11,JETS,NYJ,Questionable,Khalil Herbert,RB,groin,RB Khalil Herbert (groin)
nfl.com_week11,JETS,NYJ,Questionable,Xavier Newman-Johnson,OL,ankle,OL Xavier Newman-Johnson (ankle)
nfl.com_week11,JETS,NYJ,Questionable,dge Will McDonald IV,E,quad,Edge Will McDonald IV (quad)
nfl.com_week11,JETS,NYJ,Questionable,Braiden McGregor,DL,shoulder,DL Braiden McGregor (shoulder)
nfl.com_week11,JETS,NYJ,Questionable,Harrison Phillips,DL,foot,DL Harrison Phillips (foot)
nfl.com_week11,JETS,NYJ,Out,WR Garrett Wilson,,knee,: WR Garrett Wilson (knee)
nfl.com_week11,JETS,NYJ,Out,Azareye'h Thomas,CB,concussion,CB Azareye'h Thomas (concussion)
nfl.com_week11,PATRIOTS,NE,Out,Rhamondre Stevenson,RB,toe,RB Rhamondre Stevenson (toe)
nfl.com_week11,PATRIOTS,NE,Out,Kayshon Boutte,WR,hamstring,WR Kayshon Boutte (hamstring)
nfl.com_week11,PATRIOTS,NE,Out,Austin Hooper,TE,concussion,TE Austin Hooper (concussion)
nfl.com_week11,PATRIOTS,NE,Out,Christian Elliss,LB,hip,LB Christian Elliss (hip)
nfl.com_week11,PATRIOTS,NE,Questionable,Terrell Jennings,RB,knee,RB Terrell Jennings (knee)
nfl.com_week11,PATRIOTS,NE,Questionable,Joshua Farmer,DL,ankle,DL Joshua Farmer (ankle)
nfl.com_week11,PATRIOTS,NE,Out,RB Rhamondre Stevenson,,toe,: RB Rhamondre Stevenson (toe)
nfl.com_week11,PATRIOTS,NE,Out,Kayshon Boutte,WR,hamstring,WR Kayshon Boutte (hamstring)
nfl.com_week11,PATRIOTS,NE,Out,Austin Hooper,TE,concussion,TE Austin Hooper (concussion)
nfl.com_week11,PATRIOTS,NE,Out,Christian Elliss,LB,hip,LB Christian Elliss (hip)
